judul,link,snippet,jurnal,peringkat_sinta,website_jurnal
A Novel Deep Learning Approach of Convolutional Neural ...,http://ijeei.org/docs-2082378127617b973c95841.pdf,Abstract: Deep learning became more popular in recent years. It is widely used for different machine learning tasks.,International Journal on Electrical Engineering and Informatics (IJEEI),SINTA_1,http://ijeei.org/
Mental Stress Detection via Heart Rate Variability using ...,https://ijeei.org/docs-829611185f72f63f906e7.pdf,Machine learning is implemented on ultra-short HRV features to identify the conditions of rest and stress in a person [7]. The use of the one-dimensional ...,International Journal on Electrical Engineering and Informatics (IJEEI),SINTA_1,http://ijeei.org/
Cat Sounds Classification with Convolutional Neural Network,http://ijeei.org/docs-101557543761697768c4683.pdf,An artificial neural network or just a neural network is a machine learning algorithm that consisted of nodes and neurons which pass information to one another.,International Journal on Electrical Engineering and Informatics (IJEEI),SINTA_1,http://ijeei.org/
Deep Learning Method for Fault Diagnosis in High Voltage ...,https://www.ijeei.org/docs-106681774262cd216addc90.pdf,"This study proposes an integration of the three these deep learning methods to identify, classify, and locate other fault types on high voltage ...",International Journal on Electrical Engineering and Informatics (IJEEI),SINTA_1,http://ijeei.org/
The Impact of Data Re-Sampling on Learning Performance ...,http://www.ijeei.org/docs-14703946875bfe55d628fbb.pdf,Abstract: The aim of this paper is to evaluate the effect of data sampling techniques on the performance of learners using real highly imbalanced Spanish ...,International Journal on Electrical Engineering and Informatics (IJEEI),SINTA_1,http://ijeei.org/
Mid-Long Term Load Forecasting using Multi-Model ...,http://www.ijeei.org/docs-155573889057760bb0014ae.pdf,"The most commonly used AI techniques are ANNs [6,7,8], fuzzy logic [9,10,11], swarm intelligence algorithms [12,13,14], Grey theory [15,16], ...",International Journal on Electrical Engineering and Informatics (IJEEI),SINTA_1,http://ijeei.org/
Hybrid of AdaBoost and Optimized LSTM Using Modified ...,http://www.ijeei.org/docs-159160100465a3e1ec4b079.pdf,"Abstract: Nowadays, many machine learning techniques are widely integrated into human life sectors such as transportation, industries, and others.",International Journal on Electrical Engineering and Informatics (IJEEI),SINTA_1,http://ijeei.org/
Deep Learning Algorithm for Video Saliency Object ...,http://ijeei.org/docs-18183130406162d55c0590e.pdf,Deep learning algorithm with seven layers is proposed in this invention that processes the quantized wavelet sub bands obtained after 2-level 3D ...,International Journal on Electrical Engineering and Informatics (IJEEI),SINTA_1,http://ijeei.org/
Deep Learning Method for Fault Diagnosis in High Voltage ...,https://www.ijeei.org/docs-108412700662d0c2b6300ee.pdf,"This paper integrates deep learning methods, namely the discrete wavelet transform (DWT), GoogleNet, and probabilistic neural network (PNN) ...",International Journal on Electrical Engineering and Informatics (IJEEI),SINTA_1,http://ijeei.org/
Late Fusion of Weak Information for Incompleted Face ...,https://www.ijeei.org/docs-25728115566ab15384b6c9.pdf,Abstract: This work presents a novel method for facial recognition that aggregates weak facial parts to overcome the problem of recognizing ...,International Journal on Electrical Engineering and Informatics (IJEEI),SINTA_1,http://ijeei.org/
